,hand_idx,pos_idx,hand_num_1,hand_suit_1,hand_num_2,hand_suit_2,board_num_1,board_suit_1,board_num_2,board_suit_2,board_num_3,board_suit_3,board_num_4,board_suit_4,board_num_5,board_suit_5,stage,current_stack,pot,action_type,action_value,current_bet,num_active_players,net_stack
77,36,0,3,s,Q,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,99910.0,50,player_1,RAISE,0,2,-40.0
78,36,0,3,s,Q,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,99910.0,14321.126960004656,player_1,FOLD,14251.126960004656,1,-40.0
79,37,0,3,d,T,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,99860.0,50,player_1,RAISE,0,2,10.0
80,38,0,4,c,7,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,99900.0,50,player_1,CHECK,0,2,-67424.18920054067
81,38,0,4,c,7,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,32495.81079945933,67454.18920054067,player_1,CALL,67404.18920054067,2,-67424.18920054067
82,38,0,4,c,7,h,4,s,8,d,8,s,_,_,_,_,FLOP,32495.81079945933,134858.37840108134,player_1,CHECK,0,2,-67424.18920054067
83,38,0,4,c,7,h,4,s,8,d,8,s,_,_,_,_,FLOP,32495.81079945933,163000.56349963456,player_1,FOLD,28142.185098553236,1,-67424.18920054067
84,39,0,5,d,A,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,32465.81079945933,103087.20369229451,player_1,FOLD,103037.20369229451,1,-30.0
85,40,0,5,h,Q,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,32425.81079945933,50,player_1,RAISE,0,2,20.0
86,40,0,5,h,Q,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,0.0,95212.81831358105,player_1,CALL,95142.81831358105,2,20.0
87,40,0,5,h,Q,s,T,h,6,c,3,c,_,_,_,_,FLOP,0.0,127638.62911304038,player_1,ALL_IN,0,2,20.0
88,40,0,5,h,Q,s,T,h,6,c,3,c,_,_,_,_,FLOP,0.0,184015.66466362312,player_1,ALL_IN,56377.03555058273,2,20.0
89,40,0,5,h,Q,s,T,h,6,c,3,c,6,d,_,_,TURN,0.0,184015.66466362312,player_1,ALL_IN,0,2,20.0
90,40,0,5,h,Q,s,T,h,6,c,3,c,6,d,_,_,TURN,0.0,197867.69933650183,player_1,ALL_IN,13852.034672878726,2,20.0
91,40,0,5,h,Q,s,T,h,6,c,3,c,6,d,7,h,RIVER,0.0,197867.69933650183,player_1,ALL_IN,0,2,20.0
92,40,0,5,h,Q,s,T,h,6,c,3,c,6,d,7,h,RIVER,0.0,199637.29526440668,player_1,ALL_IN,1769.595927904851,2,20.0
